strain_name,breeder,description,current_price_gbp,original_price_gbp,discount_percent,pack_options,product_url,image_url,overview,growth_and_harvest,experience,seed_type,flowering_period_type,indica_sativa,type_ratio,strain_type_summary,environment,strength,medical_strains,smell_taste,effect,climate,flavor,thc,cbd,yield_indoor,yield_outdoor,height_indoor,height_outdoor,indoor_height_detail,indoor_flowering_time,outdoor_harvest_time,flowering_time,harvest_month,genetic_background,stock_availability,sale_item,most_popular_seeds
Super Lemon Haze,Green House Seeds,70% Sativa - 30% Indica. THC: 19.33% CBD: 0.21% CBN: 1.15%. Citrus-like haze with balanced effects. Effective for pain and appetite. High yielding.,26.8,,,3 Feminised Seeds (GBP 26.80) | 5 Feminised Seeds (GBP 37.60) | 10 Feminised Seeds (GBP 67.00) | 50 Feminised Seeds (GBP 318.25) | 100 Feminised Seeds (GBP 603.00),https://www.seed-city.com/green-house-seeds/super-lemon-haze,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FSuper_Lemon_Haze_645bc7082b8bb_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor",Super Strength,"Appetite Stimulant, Cerebral, General Pain","Citrus, Lemon",,,,,,,,,,,Medium (56 to 90 days),Middle of October,,,,In Stock,,Most Popular Cannabis Seeds
Blueberry,Dutch Passion Seeds,Classy cannabis with fruity flavors and blue colorations. 80% Indica/20% Sativa genetics from the 1970s. Ideal for experienced growers.,23.68,29.6,20.0,3 Feminised Seeds (GBP 23.68) | 5 Feminised Seeds (GBP 35.92) | 10 Feminised Seeds (GBP 57.68) | 50 Feminised Seeds (GBP 273.98) | 100 Feminised Seeds (GBP 519.12) | 10 Regular Seeds (GBP 47.52) | 50 Regular Seeds (GBP 225.72) | 100 Regular Seeds (GBP 427.68),https://www.seed-city.com/dutch-passion-seeds/blueberry,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FBlueberry_569e7a333452e_120x140.jpg&newxsize=120&newysize=140&fileout=,"Dutch Passion Blueberry is a classic and pleasant cannabis strain known for its fruity flavors and blue hues in leaves and buds. Originating from the 1970s, it has a genetic composition of 80% Indica and 20% Sativa. Growers looking for a top-notch Blueberry experience often start several seeds to select a prime mother plant, which is easy for cloning and continuously offers high-quality buds. While producing good yields under optimal conditions, its cultivation is mainly pursued for its unique, relaxing high rather than quantity. Despite being challenging for novices and having specific feeding requirements, experienced cultivators will find its quality unmatched, maintaining its popularity in coffeeshops decades after its introduction.",,,"Regular , Feminized",12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Super Strength,,Fruity,,,,19.5%,,,,,,,Medium (56 to 90 days),Middle of October,,,,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Nova OG,Anesia Seeds,"Indica-dominant strain with therapeutic effects for pain, anxiety, and inflammation. Premium seeds at Seed City.",31.0,,,3 Feminised Seeds (GBP 31.00) | 5 Feminised Seeds (GBP 47.80) | 10 Feminised Seeds (GBP 89.80) | 50 Feminised Seeds (GBP 426.55) | 100 Feminised Seeds (GBP 808.20),https://www.seed-city.com/anesia-seeds/nova-og,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FNova_OG_5deeaca24e781_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Super Strength,"Cerebral, Focused, General Pain, Relaxing, Spasm Relief, Stress Relief","Coffee, Fruity, Lemon, Sweet",,,,32%,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),The End of September,8-9 weeks,,,In Stock,,Most Popular Cannabis Seeds
Purple Haze Auto,Original Sensible Seeds,"Legendary strain with mind-blowing effects, easy to grow, fast harvest. High tolerance to pests, disease. Ideal for self-medicating or commercial growing.",11.8,,,3 Feminised Seeds (GBP 11.80) | 5 Feminised Seeds (GBP 17.80) | 10 Feminised Seeds (GBP 33.20) | 50 Feminised Seeds (GBP 157.71) | 100 Feminised Seeds (GBP 298.80),https://www.seed-city.com/original-sensible-seeds/purple-haze-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FPurple_Haze_Auto_5922d58811b85_120x140.jpg&newxsize=120&newysize=140&fileout=,"Purple Haze, immortalized by the Jimi Hendrix song, is a legendary strain recognized for its ability to induce an exhilarating, focused, and energizing high. Specially developed in autoflowering form by Original Sensible Seeds, Purple Haze Auto is designed to offer the pure euphoria associated with Purple Haze in a variant that's easy to cultivate for both personal and commercial growers. With its autoflowering properties, cultivation is straightforward whether indoors or outdoors, boasting rapid growth, high pest and disease resistance, and a quick seed to harvest time of just 70 to 75 days. Purple Haze Auto promises to deliver an exceptional product with great bag appeal and a potent high suitable for beginners and expert growers.",,,Feminized,Autoflowering,Sativa Dominant,"40% Indica, 60% Sativa",,"Indoor, Outdoor",Normal,"Cerebral, Depression, Euphoric, General Pain, Happy, Migraine Relief, Nausea, Psychedelic, Spasm Relief, Stress Relief, Uplifting","Earthy, Sandalwood","Mental, psychedelic",Hot & Temperate,,17.00%,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Future #1,Anesia Seeds,"Highly potent strain with 37% THC, stimulating high, fruity flavors, strong resin production. Suitable for relaxation, creativity, and medical use.",33.6,,,3 Feminised Seeds (GBP 33.60) | 5 Feminised Seeds (GBP 52.20) | 10 Feminised Seeds (GBP 99.60) | 50 Feminised Seeds (GBP 473.10) | 100 Feminised Seeds (GBP 896.40),https://www.seed-city.com/anesia-seeds/future-1,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FFuture__1_5dee9fe64996a_120x140.jpg&newxsize=120&newysize=140&fileout=,"Cannabis strains reaching THC levels of 30% are rare, yet Anesia Seedbank's latest breed, Future # 1, has achieved a remarkable 37% THC level through repeated lab tests. This achievement defies the long-held belief that the physical limit for THC content is 35%. Future # 1's extraordinary potency is attributed to its genetic background, a cross between Gorilla # 4 and an exceptionally selected Starfighter F2, and its extreme resin production.",,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,,,"Indoor, Outdoor",Super Strength,"Depression, Euphoric, General Pain, Nausea, Psychedelic, Relaxing, Stress Relief","Citrus, Fruity, Mango, Pineapple",,,,37%,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),Beginning of October,9-10 weeks,,,In Stock,,Most Popular Cannabis Seeds
Lemon Haze,Royal Queen Seeds,"Sativa-dominant strain with zesty lemon aroma and flavor. High THC, moderate CBD. Award-winning. Uplifting effects, energizing, creative. High yields.",19.2,,,3 Feminised Seeds (GBP 19.20) | 5 Feminised Seeds (GBP 29.00) | 10 Feminised Seeds (GBP 53.60) | 50 Feminised Seeds (GBP 254.60) | 100 Feminised Seeds (GBP 482.40),https://www.seed-city.com/royal-queen-seeds/lemon-haze,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FLemon_Haze_55132139332b1_120x140.jpg&newxsize=120&newysize=140&fileout=,"Lemon Haze is a Sativa-dominant hybrid well-known for its lemony scent and flavor, combined with skunky and spicy undertones. It has a striking appearance due to its light green buds with yellowish tints and a heavy coating of trichomes. This strain stands out with a high THC content and moderate CBD levels.",,,Feminized,12/12 Photoperiod,Sativa Dominant,Sativa 75% Indica 25%,Feminized,"Indoor, Outdoor",Super Strength,"Creative, Euphoric, Insomnia, Psychedelic, Relaxing, Uplifting","Citrus, Lemon","Balanced, Clear, Stoned",Short Summers,"Citrus, Fruity",21%,Low,600 - 650 gr/m2,650 - 700 gr/plant,80 - 140 cm,130 - 170 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9 - 10 weeks,Middle of October,Lemon Skunk x Shining Silver Haze,In Stock,,Most Popular Cannabis Seeds
Wedding Cake,Flavour Chasers,"Indica strain with sweet aroma and fruity flavor. Calming effect, high potency, good for depression, fibromyalgia, and MS symptoms.",26.02,,,1 Single Feminised Seed (GBP 26.02) | 5 Feminised Seeds (GBP 108.40) | 25 Feminised Seeds (GBP 514.90) | 50 Feminised Seeds (GBP 975.60),https://www.seed-city.com/flavour-chasers/wedding-cake,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FWedding_Cake_5fd8d551bba11_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor, Greenhouse",Normal,"Anxiety, Depression","Fruity, Sweet",,,,,,,,,,,Medium (56 to 90 days),,8-9 WEEKS,,,In Stock,,Most Popular Cannabis Seeds
Auto Northern Lights,Ministry of Cannabis,"Indica strain with pungent taste, high relaxation effects. Quick flowering time, good yields indoors/outdoors.",10.2,,,2 Feminised Seeds (GBP 10.20) | 5 Feminised Seeds (GBP 20.20) | 25 Feminised Seeds (GBP 95.95) | 50 Feminised Seeds (GBP 181.80),https://www.seed-city.com/ministry-of-cannabis/auto-northern-lights,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FAuto_Northern_Li_5840ceb98fcba_120x140.jpg&newxsize=120&newysize=140&fileout=,"Auto Northern Lights is a potent, pure indica variant, famous for its strong effects and pungent, sweet flavor. This autoflowering version matures faster and is highly adaptable, thriving in both soil and hydro setups, and scales up in size with adequate outdoor space and light. Notably uniform, it ensures a significant degree of relaxation for both body and mind.",,,Feminized,Autoflowering,Indica,,,"Indoor, Outdoor",Normal,"Body Stone, Relaxing",Sweet,,,,Up to 15%,,,,,,,Medium (56 to 90 days),,5.5-6 weeks,,,In Stock,,Most Popular Cannabis Seeds
Grandaddy Purple,Big Head Seeds,"Indica strain with oversized purple flowers, grape aroma, and berry taste. Instant euphoria and relaxation. Easy to grow indoors or out.",36.6,,,5 Feminised Seeds (GBP 36.60) | 10 Feminised Seeds (GBP 60.00) | 50 Feminised Seeds (GBP 285.00) | 100 Feminised Seeds (GBP 540.00),https://www.seed-city.com/big-head-seeds/grandaddy-purple,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FGrandaddy_Purple_5c115f6eaafbc_120x140.png&newxsize=120&newysize=140&fileout=,"Grandaddy Purple, an iconic indica dominant hybrid born from Big Bud and Purple Urkle in 2003, marked a significant milestone in global cannabis breeding recognition. It features oversized, crystal-covered purple flowers, exuding a heady grape aroma and a rich berry flavor.
The strain delivers immediate euphoria alongside deep body relaxation, offering a blissful, time-warping experience. It's praised for being exceptionally easy to grow both indoors and outdoors.",,,Feminized,12/12 Photoperiod,Indica Dominant,Indica/Sativa,,"Indoor, Outdoor",Super Strength,"Body Stone, Euphoric, Happy, Relaxing","Berry, Grape",,,,20-23%,,,,,,,Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Candy Kush Automatic,Auto Seeds,"California genetics create high-yielding strain. Easy to grow, mold/pest resistant. High THC/CBD for pain relief, insomnia. Sweet, heady smoke with spice notes.",15.9,,,3 Feminised Seeds (GBP 15.90) | 5 Feminised Seeds (GBP 24.30) | 25 Feminised Seeds (GBP 115.43) | 50 Feminised Seeds (GBP 218.70),https://www.seed-city.com/auto-seeds/candy-kush-automatic,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FCandy_Kush_Autom_5bfc35f9137cb_120x140.jpg&newxsize=120&newysize=140&fileout=,"Candy Kush is a premium autoflowering strain resulting from a collaboration that combines California's top kush genetics with Auto Pounder. This carefully selected kush variety yields a sweet, high-yielding kush strain that's straightforward to grow. It's an autoflowering type, becoming ready in as little as 65 days from seed, ideal for indoor cultivation, reaching up to 60cm, and producing a significant central cola alongside abundant bud sites. Moreover, Candy Kush exhibits excellent resistance to mould and pests, potentially yielding up to 400g/m2 under optimal conditions.",,,Feminized,Autoflowering,50% Indica/50% Sativa,Indica/Sativa/Ruderalis,,"Indoor, Outdoor",Normal,"Body Stone, General Pain, Insomnia, Narcotic",Sweet,,,,High,,,,,,,Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Super Lemon Haze Auto,Green House Seeds,"Sativa-dominant strain with fast-hitting high. Indoor flowering 7 weeks, outdoor 7 weeks. Medium-short plant with good branching.",8.04,,,1 Single Feminised Auto Seed (GBP 8.04) | 3 Feminised Auto Seeds (GBP 26.80) | 5 Feminised Auto Seeds (GBP 37.60) | 10 Feminised Auto Seeds (GBP 67.00) | 50 Feminised Auto Seeds (GBP 318.25) | 100 Feminised Auto Seeds (GBP 603.00),https://www.seed-city.com/green-house-seeds/super-lemon-haze-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FSuper_Lemon_Haze_645bc71aca61f_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,Sativa Dominant,,,"Indoor, Outdoor, Greenhouse",Normal,Cerebral,"Citrus, Fruity, Lemon",,,,,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Royal Gorilla,Royal Queen Seeds,"Potent hybrid with THC over 25%, provides relaxation and euphoria. Good for medicinal use. Earthy, sweet taste. Multiple award winner.",24.2,,,3 Feminised Seeds (GBP 24.20) | 5 Feminised Seeds (GBP 35.80) | 10 Feminised Seeds (GBP 67.00) | 50 Feminised Seeds (GBP 318.25) | 100 Feminised Seeds (GBP 603.00),https://www.seed-city.com/royal-queen-seeds/royal-gorilla,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FRoyal_Gorilla_6462886d650f8_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,Sativa 50% Indica 50%,Feminized,"Indoor, Outdoor",Super Strength,"Cerebral, Euphoric, General Pain, Happy, Relaxing, Stress Relief","Earthy, Lemon, Piney, Sweet","Calming, Clear",Short Summers,"Chocolate, Diesel, Fruity, Pine, Pungent",27%,Low,500 - 550 gr/m2,550 - 600 gr/plant,90 - 160 cm,130 - 170 cm,"Medium (81cm - 140cm), Tall (140cm plus)",Medium (56 to 90 days),Middle of October,8 - 10 weeks,Middle of October,Sour Dubb x Chem Sis x Chocolate Diesel,In Stock,,Most Popular Cannabis Seeds
Blue Cheese,Barneys Farm Seeds,"Iconic strain with great genetics, popular globally. Beautiful purple coloring, strong and easy to grow. Highly rated for intense flavors and relaxing effects.",27.2,,,3 Feminised Seeds (GBP 27.20) | 5 Feminised Seeds (GBP 38.80) | 10 Feminised Seeds (GBP 67.20) | 50 Feminised Seeds (GBP 319.20) | 100 Feminised Seeds (GBP 604.81),https://www.seed-city.com/barneys-farm-seeds/blue-cheese,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FBlue_Cheese_5c0f282c1cc21_120x140.jpg&newxsize=120&newysize=140&fileout=,"The iconic Blue Cheese strain, recognized for its award-winning genetics resulting from a cross between UK Cheese and Blueberry, is among the most sought-after marijuana strains globally. Available at Seed City, these feminized, indica-dominant seeds boast a rich color palette and a substantial fan base, especially in the UK. Acknowledged for its excellent genetics, the Blue Cheese strain is celebrated for its visual appeal and is considered one of the top indica options.
This potent strain, known as BLUE CHEESE™, promises high yields of fragrant and tasty buds characterized by an intense aged-cheese flavor with a sweet blueberry aftertaste. Ideal for Indica lovers, it produces strong, sticky colas within a short flowering period and is now available in autoflowering form.",,,Feminized,12/12 Photoperiod,Indica Dominant,Feminised,,"Indoor, Outdoor, Greenhouse",Super Strength,"Appetite Stimulant, Body Stone, Creative, Relaxing","Berry, Cheese, Dairy, Earthy, Spicy, Sweet","Joy, Euphoria, Deep-body relaxation, Sleepy, Creative, Hungry",,,,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of September,,,,In Stock,,Most Popular Cannabis Seeds
THC Bomb,Bomb Seeds,"Potent strain with high yields, short flowering time, and strong effects. Ideal for commercial growers and connoisseurs seeking high THC levels.",2.51,,,5 Feminised Seeds (GBP 29.80) | 10 Feminised Seeds (GBP 55.80) | 50 Feminised Seeds (GBP 265.05) | 100 Feminised Seeds (GBP 502.20) | 1 Single Regular Seed (GBP 2.51) | 10 Regular Seeds (GBP 20.90) | 50 Regular Seeds (GBP 99.28) | 100 Regular Seeds (GBP 188.10),https://www.seed-city.com/bomb-seeds/thc-bomb,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FTHC_Bomb_56956ed469ae1_120x140.jpg&newxsize=120&newysize=140&fileout=,"THC Bomb is renowned for its massive yields and high THC levels, making it a favorite among commercial growers and enthusiasts. This strain stands out with its large, rock-hard buds and exceptional THC content of over 20% under optimal conditions. It boasts vigorous growth, yet remains relatively short, and matures quickly, offering a substantial yield. THC Bomb thrives both indoors and outdoors, with outdoor plants capable of producing over 1kg each. At harvest, plants are adorned with frosty trichromes, attesting to its potency and appeal. THC Bomb delivers superbly across yield, strength, taste, and speed.",,,"Regular , Feminized",12/12 Photoperiod,50% Indica/50% Sativa,Indica/Sativa Mix,,"Indoor, Outdoor",Super Strength,,,,,,Very High (20-25%),,,,,,Short (up to 80cm),Medium (56 to 90 days),"The End of September, Beginning of October, Middle of October",,,,In Stock,,Most Popular Cannabis Seeds
